id,fecha,ciudadano_nombre,ciudadano_dni,ciudadano_email,ciudadano_telefono,localidad,tipo_solicitud,departamento_destino,texto_solicitud,prioridad,estado,canal_ingreso
438b22f2-3599-42ae-becd-b00475db62ac,2025-02-21,Dr(a). Ambar Benitez,57084205,dylan03@example.com,+54 9 3153 2740,La Plata,Consulta,Ministerio de Ambiente,¿Qué días pasa la recolección de residuos reciclables?,Media,Pendiente,Teléfono
1251feef-a002-4cca-a60c-772e999c7feb,2025-08-04,Mia Clara Rodriguez Moreno,61945821,santino96@example.com,+54 9 3868 4231,San Miguel de Tucumán,Queja,Ministerio de Producción,Cobran tasas municipales excesivas para pequeños comercios.,Alta,Pendiente,Web
933b64b3-9c01-4bef-8522-123659bed512,2024-08-19,Ignacio Valentina Gonzalez Fernandez,95319217,felipe11@example.org,+54 15 2581 6197,Corrientes,Consulta,Registro de Personas,¿Cómo saco turno para renovar mi DNI?,Alta,Resuelta,Email
6184ea9a-0691-49b8-9253-9133fbfdce93,2025-06-14,Zoe Valentina Toledo,47318358,lucia-15@example.net,+54 9 3401 0462,Mendoza,Consulta,Ministerio de Producción,¿Qué requisitos necesito para habilitar un comercio?,Alta,En proceso,Web
40d947cb-65a0-4844-af25-bfb957c9e806,2024-08-28,Sofia Gomez Aguirre,81946935,vargasmorena@example.com,+54 9 3879 8171,Constitución,Consulta,Ministerio de Producción,¿Qué requisitos necesito para habilitar un comercio?,Baja,Pendiente,Presencial
6c522928-0fed-451d-b392-f30cd2e74984,2024-11-11,Juan Gabriel Quiroga,52938775,agustincastro@example.org,+54 9 3271 1556,San Salvador de Jujuy,Consulta,Registro de Personas,¿Dónde puedo cambiar el domicilio en mi DNI?,Baja,Pendiente,Presencial
b91e1ab0-0d11-4dff-a754-e66d25d700dc,2025-02-23,Agustin Emilia Ramos Garcia,31758054,thiago-benjaminmansilla@example.net,+54 15 2403 0398,Merlo,Queja,Ministerio de Educación,El transporte escolar no pasa por mi barrio en Constitución.,Alta,Pendiente,Presencial
96273287-10a9-4aab-bcfa-ad35502d1e8c,2025-03-27,Thiago Valentin Juan Pablo Villalba,51352385,emmacastro@example.net,+54 15 2554 3277,San Luis,Consulta,Ministerio de Salud,¿Cómo solicito una ambulancia para traslado programado?,Baja,En proceso,Email
99bdd6a3-7c4d-4d0a-abd4-44eb43c67f8d,2024-08-06,Ana Paula Tomas Pereyra,78295781,emma99@example.org,+54 9 3857 7011,Mendoza,Trámite,Ministerio de Obras Públicas,Quiero denunciar una pérdida de agua en la vía pública.,Alta,Resuelta,Presencial
91fedf79-c1e1-443a-bb01-cd4fd97a0dd8,2025-01-27,Delfina Martín Alvarez,92493386,tomas10@example.org,+54 9 3729 9888,San Salvador de Jujuy,Trámite,Ministerio de Educación,Solicito constancia de alumno regular para mi hijo.,Alta,Pendiente,Presencial
32d881cb-5450-4e28-a986-a48e5897b64a,2025-06-12,Dr(a). Santiago Benjamin Lopez,67749775,brunopereyra@example.com,+54 15 2291 8703,Rawson,Queja,Ministerio de Desarrollo Social,Los trabajadores sociales no visitan Barrio Quiroga desde hace tiempo.,Media,Pendiente,Web
d05e77e3-3d0a-4372-ae81-fb23a4b055cf,2025-04-02,Dr(a). Benjamin Gomez,48677460,floresalma-jazmin@example.net,+54 15 2439 6653,Mar del Plata,Consulta,Ministerio de Seguridad,¿Dónde puedo consultar el estado de mi denuncia?,Alta,Resuelta,Web
66e5f813-a76b-4539-8c6e-9acc25cac9d2,2024-08-08,Pilar Maldonado,68805351,guadalupediaz@example.org,+54 9 3990 9072,San Miguel de Tucumán,Consulta,Ministerio de Obras Públicas,¿Cuándo van a repavimentar la calle Calle Rivadavia de Mendoza?,Alta,Pendiente,Presencial
24beb310-06a3-4736-9a9c-18ff88f8393b,2025-01-23,Luciana Ramos Lopez,89651326,krodriguez@example.net,+54 9 3358 3762,Rosario,Sugerencia,Ministerio de Ambiente,Propongo más campañas de reciclaje en las escuelas.,Alta,Pendiente,Email
6a3f8ac1-d856-4805-b685-53452a990f35,2024-11-05,Victoria Sanchez,68082591,gonzalo47@example.net,+54 9 3794 2070,Salta,Sugerencia,ARBA,Propongo más oficinas de ARBA en el interior.,Media,Resuelta,Email
3c6b6701-f384-4ab3-ac33-cc9ffa524249,2024-09-14,Maximo Correa,76462260,moyanomateo-benjamin@example.org,+54 15 2561 1270,Neuquén,Sugerencia,Ministerio de Obras Públicas,Deberían construir más paradas de colectivo techadas.,Alta,Pendiente,Teléfono
b2979559-2903-4528-be41-a888b006154a,2024-10-22,Sr(a). Maria Belen Gonzalez,63990740,lucas-benjamin21@example.org,+54 9 3862 5975,Corrientes,Queja,Ministerio de Obras Públicas,La ruta 23 está en pésimo estado entre Santa Rosa y Mar del Plata.,Alta,Pendiente,Presencial
4f4ec559-5dcb-401c-bd61-682688191bd4,2025-01-30,Valentin Maria Emilia Paez,59324503,figueroafrancesco@example.org,+54 9 3226 3162,San Miguel de Tucumán,Trámite,Ministerio de Salud,Solicito autorización para traslado médico interprovincial.,Alta,Pendiente,Presencial
568880a6-aabd-46b4-b154-cf4f734ebe49,2024-08-15,Benicio Felipe Luna,99853064,gonzalezthiago@example.com,+54 9 3655 4894,Mar del Plata,Queja,Ministerio de Salud,Demora excesiva en la atención en el hospital Hospital San Juan de Dios. Esperé 10 horas para ser atendido.,Baja,Pendiente,Web
9484ba7d-1080-4cc5-8cd0-785ed45800be,2024-12-28,Thiago Milo Torres Martinez,66638392,julia16@example.org,+54 9 3839 1471,Mendoza,Sugerencia,Ministerio de Obras Públicas,Sería útil crear más ciclovías en Mar del Plata.,Baja,En proceso,Presencial
f291f968-ce2f-40de-9a73-449c2fd5615a,2024-08-08,Nina Dominguez,89896203,luciagomez@example.net,+54 9 3911 1378,Merlo,Consulta,Ministerio de Obras Públicas,¿Cuál es el cronograma de obras para la ruta 4?,Alta,En proceso,Email
df2d62e7-97dc-4158-9000-1e126a145663,2024-12-22,Thiago Joaquin Martina Gomez,52247384,mrojas@example.org,+54 9 3450 3445,Santa Fe,Queja,Ministerio de Desarrollo Social,Los trabajadores sociales no visitan Barrio Medina desde hace tiempo.,Baja,Resuelta,Web
992b447e-8393-436d-bbee-a9e98a8ca146,2025-08-01,Thiago Benjamin Benitez,28741673,delfinagomez@example.com,+54 15 2733 8177,Constitución,Trámite,Ministerio de Ambiente,Solicito inspección ambiental en empresa Empresa Gonzalez-Barrios.,Alta,Pendiente,Presencial
546548bb-e503-4243-a138-4a5e27ea4944,2024-11-19,Sr(a). Mateo Herrera,66843399,mia-morenabenitez@example.org,+54 15 2311 0730,La Rioja,Queja,Ministerio de Ambiente,Talan árboles indiscriminadamente en estación de tren.,Media,En proceso,Presencial
5ced2b41-10bd-45da-8edd-7ed1e9a73915,2025-01-28,Mateo Joaquin Delfina Sosa Correa,55737334,olivia48@example.net,+54 9 3317 7257,Santiago del Estero,Sugerencia,Ministerio de Seguridad,Sugiero crear una app para denuncias ciudadanas.,Media,En proceso,Web
79b5b2b5-a9ef-4e5e-9817-47b0de4f8d70,2025-04-22,Manuel Fernandez Ferreyra,60178937,franco96@example.net,+54 15 2186 5593,Mendoza,Sugerencia,Ministerio de Salud,Sería útil implementar turnos online para el centro de salud de Resistencia.,Media,Pendiente,Web
cdcea5cd-8670-49f7-9fbf-12d05057fb87,2025-07-07,Sr(a). Maximo Gonzalez,46495542,avilajuan-ignacio@example.com,+54 15 2294 8959,Comodoro Rivadavia,Trámite,Ministerio de Producción,Solicito habilitación comercial para mi negocio.,Media,Pendiente,Teléfono
e463a99a-8efb-4a26-bcc8-1ef44ab05654,2024-08-17,Felipe Rios Roldan,72334181,nmartinez@example.org,+54 9 3353 2945,Salta,Queja,ARBA,Me cobran impuesto inmobiliario por una propiedad que ya vendí.,Baja,Resuelta,Teléfono
da8971d1-c8ac-4dc5-87d9-0ba14e60fe4e,2025-01-20,Lautaro Benjamin Roldan,15489814,thiago-benjaminrodriguez@example.org,+54 15 2224 7749,Neuquén,Sugerencia,Registro de Personas,Propongo más oficinas de registro en el interior.,Alta,Resuelta,Web
727993b4-aebd-48f0-bc60-2572640c9e13,2024-11-10,Ezequiel Fernandez,27432835,martinezsofia-belen@example.com,+54 9 3569 1556,Río Gallegos,Sugerencia,Ministerio de Producción,Sugiero más ferias de productos locales.,Media,Resuelta,Teléfono
bb6e58e6-b348-4fa5-aa7e-cf4c8cc00c86,2024-11-10,Martina Nuñez,81930256,santino-benjaminflores@example.com,+54 15 2887 7045,San Salvador de Jujuy,Sugerencia,Ministerio de Desarrollo Social,Deberían instalar más merenderos comunitarios.,Baja,En proceso,Teléfono
f5d28e74-d958-4c13-a060-639fb726c651,2025-01-11,Tomàs Vega Herrera,24417254,morenasilva@example.org,+54 15 2191 5736,Neuquén,Trámite,Ministerio de Desarrollo Social,Solicito asistencia económica por situación de vulnerabilidad.,Alta,Pendiente,Web
64bb5028-c63b-41dd-a782-54211bf768d2,2025-03-12,Juana Martinez,79291986,gbustos@example.com,+54 15 2845 9688,Posadas,Consulta,Ministerio de Educación,¿Cuándo abren las inscripciones para secundaria técnica?,Baja,Resuelta,Presencial
b59b5821-fe88-4d6f-b4f3-fb9128247b82,2025-07-27,Salvador Julia Medina,20365470,fernandezjuan-cruz@example.com,+54 15 2368 6136,Merlo,Queja,Registro de Personas,El registro civil de Corrientes no atiende en los horarios publicados.,Baja,Resuelta,Teléfono
bc12add6-90e5-4b11-8821-9fa3f2b88912,2024-09-08,Lucas Sosa,52350549,wcorrea@example.com,+54 15 2998 6508,Ushuaia,Sugerencia,Ministerio de Obras Públicas,Sugiero mejorar el drenaje pluvial en Barrio Navarro.,Alta,En proceso,Web
6ced4a8c-9bc8-4dcc-b362-a0ca3c12a33e,2025-01-11,Valentino Rios Acosta,98858388,santiago-nicolas20@example.net,+54 15 2296 8941,Viedma,Consulta,Ministerio de Salud,¿Qué documentación necesito para acceder a medicación gratuita?,Alta,En proceso,Presencial
c1a49f07-a092-4906-a6c1-0d650ef87195,2024-12-19,Maria Guadalupe Vera,87312174,thiagoramirez@example.org,+54 15 2314 0629,Santa Fe,Sugerencia,Ministerio de Obras Públicas,Sugiero mejorar el drenaje pluvial en Barrio Ramirez.,Media,En proceso,Presencial
4f46da77-3b8f-4966-92d5-431ea0903f1e,2024-11-12,Santiago Campos,64558660,nmoreno@example.org,+54 9 3381 0064,Bahía Blanca,Consulta,Ministerio de Educación,¿Cómo solicito una beca estudiantil provincial?,Baja,Pendiente,Presencial
bed66d95-d8e7-424e-8592-45c1cc9e12e3,2025-01-18,Sofia Mia Toledo Alvarez,37480063,bautista-benjamin91@example.org,+54 15 2643 4698,Bahía Blanca,Sugerencia,Registro de Personas,Deberían modernizar el sistema de seguimiento de trámites.,Alta,Resuelta,Web
92fbfcee-4d07-4605-8ec3-fd8c3025fa13,2024-10-29,Amparo Francesca Paz,90422294,benjaminsoria@example.com,+54 9 3122 2975,Mendoza,Trámite,Ministerio de Seguridad,Solicito certificado de antecedentes penales.,Media,En proceso,Teléfono
c40f6ac3-e20e-422e-98ce-8bce418ef94b,2024-09-26,Octavio Ramirez Torres,36391799,lautaro64@example.org,+54 9 3965 5357,Mendoza,Trámite,Ministerio de Ambiente,Solicito evaluación de impacto ambiental para mi proyecto.,Alta,Resuelta,Presencial
16e54110-c580-4957-9837-6f2fac4532a5,2025-04-09,Sr(a). Manuel Herrera,67520620,lucia85@example.net,+54 9 3157 0839,Resistencia,Consulta,Ministerio de Producción,¿Cómo accedo a créditos para pymes?,Alta,En proceso,Teléfono
bb44dbb4-ce17-48c1-9af7-9523a7709097,2024-11-02,Mateo Genaro Ortiz,90016267,alopez@example.org,+54 9 3518 6468,Santa Fe,Sugerencia,Ministerio de Salud,Sería útil implementar turnos online para el centro de salud de San Ferando del Valle de Catamarca.,Alta,Pendiente,Email
31e07cc9-fdd5-4450-aa32-e727cd312c35,2025-05-02,Tiziano Benjamin Julieta Perez,13302315,valentina47@example.net,+54 9 3432 5595,Córdoba,Queja,Registro de Personas,Saqué turno para DNI hace 11 meses y aún no me llamaron.,Baja,En proceso,Teléfono
84e5082a-828f-47a1-8d5f-0f7d5fdef3a8,2024-09-21,Tomas Diaz Caceres,87844484,franciscogimenez@example.org,+54 15 2619 8070,San Salvador de Jujuy,Queja,Ministerio de Salud,No hay ambulancias disponibles en San Ferando del Valle de Catamarca. Es una emergencia sanitaria.,Media,En proceso,Web
8d258ca4-4be9-42b9-a4f5-e7b77bb8dc27,2024-12-09,Julia Isabella Martinez,78755692,prodriguez@example.org,+54 15 2719 1300,Salta,Queja,Ministerio de Ambiente,Empresa Empresa Ojeda-Ayala contamina el aire sin control en Bahía Blanca.,Alta,Pendiente,Presencial
d04c1d28-bc62-42b3-a280-eced22f756ad,2024-11-16,Sr(a). Benjamin Ezequiel Maidana,40832936,olivia96@example.com,+54 15 2285 6893,San Luis,Queja,Ministerio de Salud,Demora excesiva en la atención en el hospital HIGA. Esperé 5 horas para ser atendido.,Alta,Pendiente,Teléfono
01885f54-3dcf-4d50-92cf-d7fe06c2388d,2024-08-18,Pilar Sara Muñoz,50780456,manuel33@example.net,+54 15 2971 7762,San Salvador de Jujuy,Trámite,Ministerio de Seguridad,Solicito certificado de antecedentes penales.,Baja,En proceso,Email
56663725-b4ca-4456-8273-8df3d82a5e34,2025-03-10,Valentina Valentina Cruz,62190904,benjamingarcia@example.org,+54 9 3485 8623,Bahía Blanca,Consulta,Ministerio de Salud,¿Cómo puedo inscribirme al programa de vacunación contra gripe?,Media,En proceso,Web
439b2eae-d840-40de-b0a0-c42095e72d41,2025-04-01,Maria Belen Antonio Juarez Paz,72021842,tmaidana@example.com,+54 15 2332 3929,Posadas,Trámite,Ministerio de Salud,Necesito renovar mi credencial de obra social provincial.,Baja,En proceso,Presencial
8e8cb293-2411-4e6c-8a52-e876bef3e710,2025-06-14,Bautista Gomez Rodriguez,89429013,maria-emilia09@example.net,+54 15 2337 4004,Merlo,Trámite,Ministerio de Seguridad,Quiero registrar mi arma de fuego legalmente.,Baja,En proceso,Web
6500679a-006a-4639-91ad-fbc8c23f886a,2024-12-03,Guadalupe Fernandez,88524570,mia-valentinaluna@example.org,+54 15 2431 7368,Rosario,Queja,Registro de Personas,Saqué turno para DNI hace 1 meses y aún no me llamaron.,Baja,En proceso,Email
eeda1ac6-d6a3-46bd-b9d2-e1d609d2d69f,2024-12-04,Uma  Gomez Aguero,63733575,juan35@example.net,+54 15 2505 4783,Paraná,Queja,Ministerio de Educación,La escuela Escuela N° 155 de San Ferando del Valle de Catamarca no tiene calefacción funcionando.,Media,Pendiente,Email
8fce562e-e8be-4fa8-8dc0-00a0aaf3ae5c,2025-02-02,Lucía  Valdez Benitez,77302902,palomasanchez@example.com,+54 15 2394 4398,La Plata,Queja,Ministerio de Producción,La oficina de habilitaciones comerciales de Bahía Blanca nunca está abierta.,Baja,Resuelta,Web
18c846b1-6f8f-458a-8cc3-14771a435353,2025-07-28,Thiago Ramos,38752878,peraltaluz-milagros@example.com,+54 9 3697 0993,Mar del Plata,Queja,ARBA,Me llegó una factura de patente automotor incorrecta.,Media,En proceso,Presencial
e42e15be-0401-4924-ae13-cf34b077c3cd,2025-04-08,Mateo Lucia Ruiz Vargas,36428720,osuarez@example.net,+54 15 2799 8882,San Ferando del Valle de Catamarca,Trámite,Ministerio de Desarrollo Social,Solicito inscripción en el programa Potenciar Trabajo.,Alta,En proceso,Email
79b23d69-1c21-43ec-a8e5-38ccc6f6386c,2024-09-24,Joaquin Guadalupe Martinez Leiva,87568982,romerorenata@example.com,+54 15 2248 7881,La Rioja,Sugerencia,Ministerio de Obras Públicas,Propongo instalar reductores de velocidad en estación de tren.,Media,Pendiente,Presencial
ca157d0e-1ff0-45e4-b182-8a554e506068,2025-07-25,Dr(a). Valentino Ayala,26922433,thiago-ezequiel23@example.net,+54 9 3471 2614,Salta,Consulta,Ministerio de Desarrollo Social,¿Qué requisitos necesito para acceder a la vivienda social?,Media,Resuelta,Web
decd3f89-1fd0-475d-b1da-8b20fc5ce595,2025-08-05,Delfina Victoria Caceres Guzman,40984138,martina59@example.com,+54 9 3329 9364,Mendoza,Trámite,Registro de Personas,Necesito partida de defunción de mi hija.,Alta,En proceso,Teléfono
02f93c74-20f5-4397-9e83-2538c5761177,2025-02-28,Dr(a). Valentina  Acuña,19054772,suarezguadalupe@example.com,+54 15 2945 2558,Santa Rosa,Trámite,Ministerio de Educación,Solicito certificado analítico de estudios secundarios.,Alta,Pendiente,Email
8f2c6491-f218-4fac-8e6f-29119b7c438b,2024-10-28,Santino Jeronimo Hernandez,45846523,plopez@example.net,+54 9 3246 7550,Mendoza,Sugerencia,Ministerio de Educación,Sugiero crear un programa de tutorías para estudiantes con dificultades.,Media,En proceso,Web
b97079c8-dc53-48c6-b664-8ead92d96667,2024-09-08,Ludmila Emilia Martinez,64242360,croldan@example.net,+54 15 2278 1757,Viedma,Consulta,Ministerio de Salud,¿Qué documentación necesito para acceder a medicación gratuita?,Alta,En proceso,Presencial
3a45cfc2-989f-4f3c-9b3b-8792bf20863e,2025-06-24,Jazmin Renata Garcia,12435008,antonella74@example.com,+54 9 3867 9661,Ushuaia,Consulta,Registro de Personas,¿Cómo saco turno para renovar mi DNI?,Media,En proceso,Presencial
8f296dda-1852-4241-904a-8675dcf1a744,2024-08-08,Dr(a). Uma  Morales,16383146,fcardozo@example.com,+54 9 3212 2638,Corrientes,Sugerencia,Ministerio de Ambiente,Sería útil crear más espacios verdes en Salta.,Baja,En proceso,Presencial
9a897209-6a90-4920-9a62-5176a2ecdd93,2024-09-04,Valentina Chavez Ferreyra,60499974,valentin19@example.com,+54 9 3637 0445,Neuquén,Consulta,Ministerio de Desarrollo Social,¿Dónde puedo inscribirme en los cursos de capacitación laboral?,Baja,En proceso,Presencial
7918acac-3d59-4be4-88e9-67e0136e79e8,2024-08-06,Dante Camila Paez,68852369,igomez@example.net,+54 9 3310 2025,La Plata,Consulta,Ministerio de Obras Públicas,¿Cuál es el cronograma de obras para la ruta 26?,Alta,En proceso,Presencial
4c96524b-9afc-443a-a898-c6a3d204dce3,2025-03-06,Tiziano Benjamin Emma Benitez Gutierrez,45780298,camila80@example.org,+54 15 2841 6384,Comodoro Rivadavia,Consulta,ARBA,¿Cómo solicito una factura de libre deuda?,Alta,En proceso,Email
12c89c73-cb05-4bf7-9c3e-e47dabd2cfde,2025-05-24,Uma  Benitez,95317032,martinezthiago@example.com,+54 9 3892 5352,Viedma,Consulta,Ministerio de Educación,¿Qué documentación necesito para el pase de escuela?,Alta,Resuelta,Presencial
75c17cca-aaaa-4d99-b687-12831b2113d6,2024-12-08,Valentin Martina Sosa Rodriguez,45803906,victoriarodriguez@example.org,+54 9 3543 7597,Neuquén,Consulta,Ministerio de Educación,¿Cómo inscribo a mi hijo en el jardín de infantes de Comodoro Rivadavia?,Alta,En proceso,Presencial
8d3584a9-d083-4ab4-8b80-d09c1675cf76,2025-05-11,Morena Franco Gimenez,39243246,miadiaz@example.com,+54 15 2801 1672,Chilecito,Consulta,Registro de Personas,¿Cómo saco turno para renovar mi DNI?,Baja,Pendiente,Teléfono
825534ff-06b5-4d85-922c-c7dfcbadedac,2025-06-10,Sr(a). Matias Fernandez,18147963,morena91@example.net,+54 9 3446 2672,Ushuaia,Queja,Ministerio de Salud,Personal médico maltrata a los pacientes en HIGA. Necesitan capacitación urgente.,Baja,En proceso,Email
e0f97706-2e36-43ec-98ed-1ba426f1387f,2024-10-08,Mia Morena Vargas,96619093,sosathiago-benjamin@example.net,+54 9 3414 7927,Posadas,Queja,Ministerio de Producción,La oficina de habilitaciones comerciales de Merlo nunca está abierta.,Media,Resuelta,Email
44b21e4e-cc42-40ea-937f-4ffece89c325,2025-03-16,Gino Moreno Ledesma,37072486,vgutierrez@example.org,+54 9 3292 2313,San Juan,Consulta,Ministerio de Desarrollo Social,¿Cómo solicito ayuda para adultos mayores?,Alta,Resuelta,Teléfono
d8e39a1f-c562-47f6-8fa5-b1e698d8b7c6,2024-09-15,Mia Morena Benitez,88771416,alejo29@example.net,+54 15 2474 3910,Constitución,Sugerencia,Ministerio de Desarrollo Social,Sugiero ampliar los programas de asistencia a jóvenes.,Media,En proceso,Web
ab53c28b-f4a0-4a1a-971b-441701a437cd,2025-03-30,Manuel Paulina Lopez,70482231,oriana67@example.net,+54 9 3951 8133,Neuquén,Consulta,Ministerio de Educación,¿Cómo solicito una beca estudiantil provincial?,Baja,Pendiente,Email
522036e8-8f27-4590-8704-561f8118664e,2024-08-09,Dr(a). Luca Rojas,23947553,alvaro11@example.org,+54 15 2471 0866,Bahía Blanca,Sugerencia,Registro de Personas,Sería útil poder hacer algunos trámites de forma remota.,Baja,Resuelta,Email
e7c909b2-5bec-4506-86a5-21ed5392bb09,2025-01-20,Juana Joaquin Ramos,15176912,gomezjoaquin@example.com,+54 9 3171 0359,Paraná,Trámite,Ministerio de Desarrollo Social,Quiero inscribirme en el programa de microcréditos.,Baja,Pendiente,Web
3541d707-5a6a-4cf3-af6b-3c9ca2eb3fb1,2025-08-05,Sr(a). Tiziano Cordoba,72176054,helena36@example.com,+54 9 3867 9197,Ushuaia,Sugerencia,Ministerio de Salud,Sugiero más campañas de prevención en adicciones.,Media,En proceso,Presencial
5d50c674-9963-4295-89bb-2f49eb82314e,2024-11-19,Gino Dylan Medina,70243792,rledesma@example.com,+54 9 3369 6118,Salta,Sugerencia,Ministerio de Educación,Sería bueno tener más talleres de oficios en las escuelas técnicas.,Baja,Pendiente,Web
46e23446-163a-4b33-a9c5-e2bf75868b6c,2025-01-03,Jazmín Lola Bravo,73529402,emaidana@example.com,+54 9 3937 3549,Salta,Trámite,Ministerio de Desarrollo Social,Solicito inscripción en el programa Potenciar Trabajo.,Media,En proceso,Web
762276e2-d838-4fd7-9eb9-9e7680d3a1f6,2025-06-21,Sr(a). Bautista Rojas,67018897,juan-ignaciorivero@example.net,+54 9 3267 4302,San Luis,Consulta,Ministerio de Educación,¿Cuándo abren las inscripciones para secundaria técnica?,Baja,Pendiente,Email
34e43ebb-66ff-460e-92d8-c6e9478c3893,2025-03-16,Alma Mia Mansilla Gonzalez,13239706,dgonzalez@example.org,+54 15 2442 1086,Rosario,Sugerencia,Ministerio de Seguridad,Sería útil instalar cámaras de seguridad en estación de tren.,Media,En proceso,Web
b2cc0f73-3d1a-4318-bfc4-315bdf3ba404,2025-08-01,Santiago Ramos Miranda,64228504,beniciogonzalez@example.org,+54 9 3326 5395,Santa Fe,Trámite,Ministerio de Ambiente,Solicito evaluación de impacto ambiental para mi proyecto.,Alta,Resuelta,Web
84ec2d1f-de49-4269-ab91-103842099121,2024-08-30,Rafael Garcia,27826867,gonzalo51@example.net,+54 15 2307 1121,San Luis,Queja,Ministerio de Desarrollo Social,El centro comunitario de San Juan está cerrado sin aviso.,Alta,En proceso,Email
a71974db-de81-40f3-be01-25b12e476073,2024-08-15,Sr(a). Tomàs Lopez,60924103,mmendez@example.org,+54 15 2394 7513,Comodoro Rivadavia,Trámite,ARBA,Solicito plan de pago para impuestos atrasados.,Baja,Pendiente,Email
2956bfda-74c6-475f-a9be-49bd19bfb722,2024-12-20,Zoe Flores Suarez,36509973,fernandezsantiago@example.org,+54 15 2390 9398,Chilecito,Consulta,Ministerio de Producción,¿Qué requisitos necesito para habilitar un comercio?,Alta,En proceso,Teléfono
f84c682f-eb44-4d35-a58e-5767ca8ed706,2025-01-01,Sr(a). Santino Nicolas Torres,40360855,dpaez@example.com,+54 15 2680 2318,San Ferando del Valle de Catamarca,Trámite,Registro de Personas,Necesito partida de defunción de mi hija.,Alta,Resuelta,Email
dc31ef07-523a-40af-8841-7a130dc13e80,2025-07-14,Santiago Genaro Alvarez,21218244,martinezagustin@example.com,+54 9 3741 4951,Corrientes,Sugerencia,Registro de Personas,Sería útil poder hacer algunos trámites de forma remota.,Baja,Pendiente,Teléfono
1d2b0006-2b14-4bab-92bc-e4e6bdb96993,2025-03-02,Ignacio Manuel Flores Benitez,48665997,molinaabril@example.com,+54 9 3885 9663,Merlo,Consulta,Registro de Personas,¿Dónde puedo cambiar el domicilio en mi DNI?,Media,Resuelta,Presencial
70f26e37-dea9-4342-b4f9-f940de37aa7b,2025-05-14,Tomas Santiago Ruiz Herrera,88583328,ncorrea@example.net,+54 9 3479 9266,San Ferando del Valle de Catamarca,Sugerencia,Ministerio de Producción,Propongo crear un polo industrial en Constitución.,Media,Resuelta,Web
28a60c5a-4d22-4c71-9c40-e0290eb97b95,2025-03-19,Camilo Vazquez,23023956,octavio94@example.net,+54 9 3825 5583,Neuquén,Consulta,Ministerio de Producción,¿Dónde puedo capacitarme en gestión empresarial?,Media,Resuelta,Email
